word;pos;definition
Plaice;n.;A large American flounder (Paralichthys dentatus; called also brail, puckermouth, and summer flounder. The name is sometimes applied to other allied species.
Plaid;n.;A rectangular garment or piece of cloth, usually made of the checkered material called tartan, but sometimes of plain gray, or gray with black stripes. It is worn by both sexes in Scotland.
Plaid;n.;Goods of any quality or material of the pattern of a plaid or tartan; a checkered cloth or pattern.
Plaid;a.;Having a pattern or colors which resemble a Scotch plaid; checkered or marked with bars or stripes at right angles to one another; as, plaid muslin.
Plaided;a.;Of the material of which plaids are made; tartan.
Plaided;a.;Wearing a plaid.
Plaiding;n.;Plaid cloth.
Plain;v. i.;To lament; to bewail; to complain.
Plain;v. t.;To lament; to mourn over; as, to plain a loss.
Plain;superl.;Without elevations or depressions; flat; level; smooth; even. See Plane.
Plain;superl.;Open; clear; unencumbered; equal; fair.
Plain;superl.;Not intricate or difficult; evident; manifest; obvious; clear; unmistakable.
Plain;superl.;Void of extraneous beauty or ornament; without conspicious embellishment; not rich; simple.
Plain;superl.;Not highly cultivated; unsophisticated; free from show or pretension; simple; natural; homely; common.
Plain;superl.;Free from affectation or disguise; candid; sincere; artless; honest; frank.
Plain;superl.;Not luxurious; not highly seasoned; simple; as, plain food.
Plain;superl.;Without beauty; not handsome; homely; as, a plain woman.
Plain;superl.;Not variegated, dyed, or figured; as, plain muslin.
Plain;superl.;Not much varied by modulations; as, a plain tune.
Plain;adv.;In a plain manner; plainly.
Plain;a.;Level land; usually, an open field or a broad stretch of land with an even surface, or a surface little varied by inequalities; as, the plain of Jordan; the American plains, or prairies.
Plain;a.;A field of battle.
Plained;imp. & p. p.;of Plain
Plaining;p. pr. & vb. n.;of Plain
Plain;v.;To plane or level; to make plain or even on the surface.
Plain;v.;To make plain or manifest; to explain.
Plainant;n.;One who makes complaint; the plaintiff.
Plain-dealing;a.;Practicing plain dealing; artless. See Plain dealing, under Dealing.
Plain-hearted;a.;Frank; sincere; artless.
Plaining;n.;Complaint.
Plaining;a.;Complaining.
Plain-laid;a.;Consisting of strands twisted together in the ordinary way; as, a plain-laid rope. See Illust. of Cordage.
Plainly;adv.;In a plain manner; clearly.
Plainness;n.;The quality or state of being plain.
Plainsman;n.;One who lives in the plains.
Plain-spoken;a.;Speaking with plain, unreserved sincerity; also, spoken sincerely; as, plain-spoken words.
Plaint;n.;Audible expression of sorrow; lamentation; complaint; hence, a mournful song; a lament.
Plaint;n.;An accusation or protest on account of an injury.
Plaint;n.;A private memorial tendered to a court, in which a person sets forth his cause of action; the exhibiting of an action in writing.
Plaintful;a.;Containing a plaint; complaining; expressing sorrow with an audible voice.
Plaintiff;n.;One who commences a personal action or suit to obtain a remedy for an injury to his rights; -- opposed to defendant.
Plaintiff;a.;See Plaintive.
Plaintive;n.;Repining; complaining; lamenting.
Plaintive;n.;Expressive of sorrow or melancholy; mournful; sad.
Plaintless;a.;Without complaint; unrepining.
Plaisance;n.;See Pleasance.
Plaise;n.;See Plaice.
Plaister;n.;See Plaster.
Plait;n.;A flat fold; a doubling, as of cloth; a pleat; as, a box plait.
Plait;n.;A braid, as of hair or straw; a plat.
Plaited;imp. & p. p.;of Plait
Plaiting;p. pr. & vb. n.;of Plait
Plait;v. t.;To fold; to double in narrow folds; to pleat; as, to plait a ruffle.
Plait;v. t.;To interweave the strands or locks of; to braid; to plat; as, to plait hair; to plait rope.
Plaited;a.;Folded; doubled over; braided; figuratively, involved; intricate; artful.
Plaiter;n.;One who, or that which, plaits.
Plan;a.;A draught or form; properly, a representation drawn on a plane, as a map or a chart; especially, a top view, as of a machine, or the representation or delineation of a horizontal section of anything, as of a building; a graphic representation; a diagram.
Plan;a.;A scheme devised; a method of action or procedure expressed or described in language; a project; as, the plan of a constitution; the plan of an expedition.
Plan;a.;A method; a way of procedure; a custom.
Planned;imp. & p. p.;of Plan
Planning;p. pr. & vb. n.;of Plan
Plan;v. t.;To form a delineation of; to draught; to represent, as by a diagram.
Plan;v. t.;To scheme; to devise; to contrive; to form in design; as, to plan the conquest of a country.
Planariae;pl. ;of Planaria
Planaria;n.;Any species of turbellarian worms belonging to Planaria, and many allied genera. The body is usually flat, thin, and smooth. Some species, in warm countries, are terrestrial.
Planarian;n.;One of the Planarida, or Dendrocoela; any turbellarian worm.
Planarida;n. pl.;A division of Turbellaria; the Dendrocoela.
Planarioid;a.;Like the planarians.
Planary;a.;Of or pertaining to a plane.
Planch;n.;A plank.
Planched;imp. & p. p.;of Planch
Planching;p. pr. & vb. n.;of Planch
Planch;v. t.;To make or cover with planks or boards; to plank.
Plancher;n.;A floor of wood; also, a plank.
Plancher;n.;The under side of a cornice; a soffit.
Plancher;v. t.;To form of planks.
Planchet;n.;A flat piece of metal; especially, a disk of metal ready to be stamped as a coin.
Planchette;n.;A circumferentor. See Circumferentor.
Planchette;n.;A small tablet of wood supported on casters and having a pencil attached. The characters produced by the pencil on paper, while the hand rests on the instrument and it is allowed to move, are sometimes translated as of oracular or supernatural import.
Planching;n.;The laying of floors in a building; also, a floor of boards or planks.
Plane;n.;Any tree of the genus Platanus.
Plane;a.;Without elevations or depressions; even; level; flat; lying in, or constituting, a plane; as, a plane surface.
Plane;a.;A surface, real or imaginary, in which, if any two points are taken, the straight line which joins them lies wholly in that surface; or a surface, any section of which by a like surface is a straight line; a surface without curvature.
Plane;a.;An ideal surface, conceived as coinciding with, or containing, some designated astronomical line, circle, or other curve; as, the plane of an orbit; the plane of the ecliptic, or of the equator.
Plane;a.;A block or plate having a perfectly flat surface, used as a standard of flatness; a surface plate.
Plane;a.;A tool for smoothing boards or other surfaces of wood, for forming moldings, etc. It consists of a smooth-soled stock, usually of wood, from the under side or face of which projects slightly the steel cutting edge of a chisel, called the iron, which inclines backward, with an apperture in front for the escape of shavings; as, the jack plane; the smoothing plane; the molding plane, etc.
Planed;imp. & p. p.;of Plane
Planing;p. pr. & vb. n.;of Plane
Plane;a.;To make smooth; to level; to pare off the inequalities of the surface of, as of a board or other piece of wood, by the use of a plane; as, to plane a plank.
Plane;a.;To efface or remove.
Plane;a.;Figuratively, to make plain or smooth.
Plane-parallel;a.;Having opposite surfaces exactly plane and parallel, as a piece of glass.
Planer;n.;One who, or that which, planes; a planing machine; esp., a machine for planing wood or metals.
Planer;n.;A wooden block used for forcing down the type in a form, and making the surface even.
Planer tree;;A small-leaved North American tree (Planera aquatica) related to the elm, but having a wingless, nutlike fruit.
Planet;n.;A celestial body which revolves about the sun in an orbit of a moderate degree of eccentricity. It is distinguished from a comet by the absence of a coma, and by having a less eccentric orbit. See Solar system.
Planet;n.;A star, as influencing the fate of a men.
Plane table;;See under Plane, a.
Planetarium;n.;An orrery. See Orrery.
Planetary;a.;Of or pertaining to the planets; as, planetary inhabitants; planetary motions; planetary year.
Planetary;a.;Consisting of planets; as, a planetary system.
Planetary;a.;Under the dominion or influence of a planet.
Planetary;a.;Caused by planets.
Planetary;a.;Having the nature of a planet; erratic; revolving; wandering.
Planeted;a.;Belonging to planets.
Planetic;a.;Alt. of Planetical
Planetical;a.;Of or pertaining to planets.
Planetoid;n.;A body resembling a planet; an asteroid.
Planetoidal;a.;Pertaining to a planetoid.
Plane tree;;Same as 1st Plane.
Planet-stricken;a.;Alt. of Planet-struck
Planet-struck;a.;Affected by the influence of planets; blasted.
Planetule;n.;A little planet.
Plangency;n.;The quality or state of being plangent; a beating sound.
Plangent;a.;Beating; dashing, as a wave.
Plani-;a.;Alt. of Plano-
Plano-;a.;Combining forms signifying flat, level, plane; as planifolious, planimetry, plano-concave.
Planifolious;a.;Flat-leaved.
Planiform;a.;Having a plane surface; as, a planiform, gliding, or arthrodial articulation.
Planimeter;n.;An instrument for measuring the area of any plane figure, however irregular, by passing a tracer around the bounding line; a platometer.
Planimetric;a.;Alt. of Planimetrical
Planimetrical;a.;Of or pertaining to planimetry.
Planimetry;n.;The mensuration of plane surfaces; -- distinguished from stereometry, or the mensuration of volumes.
Planing;;a. & vb. n. fr. Plane, v. t.
Planipennate;a.;Of or pertaining to Planipennia.
Planipennia;n. pl.;A suborder of Neuroptera, including those that have broad, flat wings, as the ant-lion, lacewing, etc. Called also Planipennes.
Planipetalous;a.;Having flat petals.
Planished;imp. & p. p.;of Planish
Planishing;p. pr. & vb. n.;of Planish
Planish;v.;To make smooth or plane, as a metallic surface; to condense, toughen, and polish by light blows with a hammer.
Planisher;n.;One who, or that which, planishes.
Planishing;;a. & vb. n. from Planish, v. t.
Planisphere;n.;The representation of the circles of the sphere upon a plane; especially, a representation of the celestial sphere upon a plane with adjustable circles, or other appendages, for showing the position of the heavens, the time of rising and setting of stars, etc., for any given date or hour.
Planispheric;a.;Of or pertaining to a planisphere.
Plank;n.;A broad piece of sawed timber, differing from a board only in being thicker. See Board.
Plank;n.;Fig.: That which supports or upholds, as a board does a swimmer.
Plank;n.;One of the separate articles in a declaration of the principles of a party or cause; as, a plank in the national platform.
Planked;imp. & p. p.;of Plank
Planking;p. pr. & vb. n.;of Plank
Plank;v. t.;To cover or lay with planks; as, to plank a floor or a ship.
Plank;v. t.;To lay down, as on a plank or table; to stake or pay cash; as, to plank money in a wager.
Plank;v. t.;To harden, as hat bodies, by felting.
Plank;v. t.;To splice together the ends of slivers of wool, for subsequent drawing.
Planking;n.;The act of laying planks; also, planks, collectively; a series of planks in place, as the wooden covering of the frame of a vessel.
Planking;n.;The act of splicing slivers. See Plank, v. t., 4.
Plank-sheer;n.;The course of plank laid horizontally over the timberheads of a vessel's frame.
Planless;a.;Having no plan.
Planner;n.;One who plans; a projector.
Plano-;;See Plani-.
Planoblast;n.;Any free-swimming gonophore of a hydroid; a hydroid medusa.
Plano-concave;a.;Plane or flat on one side, and concave on the other; as, a plano-concave lens. See Lens.
Plano-conical;a.;Plane or flat on one side, and conical on the other.
Plano-convex;a.;Plane or flat on one side, and convex on the other; as, a plano-convex lens. See Convex, and Lens.
Plano-horizontal;a.;Having a level horizontal surface or position.
Planometer;n.;An instrument for gauging or testing a plane surface. See Surface gauge, under Surface.
Planometry;n.;The art or process of producing or gauging a plane surface.
Plano-orbicular;a.;Plane or flat on one side, and spherical on the other.
Planorbis;n.;Any fresh-water air-breathing mollusk belonging to Planorbis and other allied genera, having shells of a discoidal form.
Plano-subulate;a.;Smooth and awl-shaped. See Subulate.
Plant;n.;A vegetable; an organized living being, generally without feeling and voluntary motion, and having, when complete, a root, stem, and leaves, though consisting sometimes only of a single leafy expansion, or a series of cellules, or even a single cellule.
Plant;n.;A bush, or young tree; a sapling; hence, a stick or staff.
Plant;n.;The sole of the foot.
Plant;n.;The whole machinery and apparatus employed in carrying on a trade or mechanical business; also, sometimes including real estate, and whatever represents investment of capital in the means of carrying on a business, but not including material worked upon or finished products; as, the plant of a foundry, a mill, or a railroad.
Plant;n.;A plan; an artifice; a swindle; a trick.
Plant;n.;An oyster which has been bedded, in distinction from one of natural growth.
Plant;n.;A young oyster suitable for transplanting.
Planted;imp. & p. p.;of Plant
Planting;p. pr. & vb. n.;of Plant
Plant;n.;To put in the ground and cover, as seed for growth; as, to plant maize.
Plant;n.;To set in the ground for growth, as a young tree, or a vegetable with roots.
Plant;n.;To furnish, or fit out, with plants; as, to plant a garden, an orchard, or a forest.
Plant;n.;To engender; to generate; to set the germ of.
Plant;n.;To furnish with a fixed and organized population; to settle; to establish; as, to plant a colony.
Plant;n.;To introduce and establish the principles or seeds of; as, to plant Christianity among the heathen.
Plant;n.;To set firmly; to fix; to set and direct, or point; as, to plant cannon against a fort; to plant a standard in any place; to plant one's feet on solid ground; to plant one's fist in another's face.
Plant;n.;To set up; to install; to instate.
Plant;v. i.;To perform the act of planting.
Plantable;a.;Capable of being planted; fit to be planted.
Plantage;n.;A word used once by Shakespeare to designate plants in general, or anything that is planted.
Plantain;n.;A treelike perennial herb (Musa paradisiaca) of tropical regions, bearing immense leaves and large clusters of the fruits called plantains. See Musa.
Plantain;n.;The fruit of this plant. It is long and somewhat cylindrical, slightly curved, and, when ripe, soft, fleshy, and covered with a thick but tender yellowish skin. The plantain is a staple article of food in most tropical countries, especially when cooked.
Plantain;n.;Any plant of the genus Plantago, but especially the P. major, a low herb with broad spreading radical leaves, and slender spikes of minute flowers. It is a native of Europe, but now found near the abode of civilized man in nearly all parts of the world.
Plantal;a.;Belonging to plants; as, plantal life.
Plantar;a.;Of or pertaining to the sole of the foot; as, the plantar arteries.
Plantation;n.;The act or practice of planting, or setting in the earth for growth.
Plantation;n.;The place planted; land brought under cultivation; a piece of ground planted with trees or useful plants; esp., in the United States and West Indies, a large estate appropriated to the production of the more important crops, and cultivated by laborers who live on the estate; as, a cotton plantation; a coffee plantation.
Plantation;n.;An original settlement in a new country; a colony.
Plant-cane;n.;A stalk or shoot of sugar cane of the first growth from the cutting. The growth of the second and following years is of inferior quality, and is called rattoon.
Plant-eating;a.;Eating, or subsisting on, plants; as, a plant-eating beetle.
Planted;a.;Fixed in place, as a projecting member wrought on a separate piece of stuff; as, a planted molding.
Planter;n.;One who, or that which, plants or sows; as, a planterof corn; a machine planter.
Planter;n.;One who owns or cultivates a plantation; as, a sugar planter; a coffee planter.
Planter;n.;A colonist in a new or uncultivated territory; as, the first planters in Virginia.
Plantership;n.;The occupation or position of a planter, or the management of a plantation, as in the United States or the West Indies.
Planticle;n.;A young plant, or plant in embryo.
Plantigrada;n. pl.;A subdivision of Carnivora having plantigrade feet. It includes the bears, raccoons, and allied species.
Plantigrade;a.;Walking on the sole of the foot; pertaining to the plantigrades.
Plantigrade;a.;Having the foot so formed that the heel touches the ground when the leg is upright.
Plantigrade;n.;A plantigrade animal, or one that walks or steps on the sole of the foot, as man, and the bears.
Planting;n.;The act or operation of setting in the ground for propagation, as seeds, trees, shrubs, etc.; the forming of plantations, as of trees; the carrying on of plantations, as of sugar, coffee, etc.
Planting;n.;That which is planted; a plantation.
Planting;n.;The laying of the first courses of stone in a foundation.
Plantless;a.;Without plants; barren of vegetation.
Plantlet;n.;A little plant.
Plantocracy;n.;Government by planters; planters, collectively.
Plantule;n.;The embryo which has begun its development in the act of germination.
Planulae;pl. ;of Planula
Planula;n.;In embryonic development, a vesicle filled with fluid, formed from the morula by the divergence of its cells in such a manner as to give rise to a central space, around which the cells arrange themselves as an envelope; an embryonic form intermediate between the morula and gastrula. Sometimes used as synonymous with gastrula.
Planula;n.;The very young, free-swimming larva of the coelenterates. It usually has a flattened oval or oblong form, and is entirely covered with cilia.
Planxty;n.;An Irish or Welsh melody for the harp, sometimes of a mournful character.
Plaque;n.;Any flat, thin piece of metal, clay, ivory, or the like, used for ornament, or for painting pictures upon, as a slab, plate, dish, or the like, hung upon a wall; also, a smaller decoration worn on the person, as a brooch.
Plash;v.;A small pool of standing water; a puddle.
Plash;v.;A dash of water; a splash.
Plashed;imp. & p. p.;of Plash
Plashing;p. pr. & vb. n.;of Plash
Plash;v. i.;To dabble in water; to splash.
Plash;v. t.;To splash, as water.
Plash;v. t.;To splash or sprinkle with coloring matter; as, to plash a wall in imitation of granite.
Plashed;imp. & p. p.;of Plash
Plashing;p. pr. & vb. n.;of Plash
Plash;v. t.;To cut partly, or to bend and intertwine the branches of; as, to plash a hedge.
Plash;n.;The branch of a tree partly cut or bent, and bound to, or intertwined with, other branches.
Plashet;n.;A small pond or pool; a puddle.
Plashing;n.;The cutting or bending and intertwining the branches of small trees, as in hedges.
Plashing;n.;The dashing or sprinkling of coloring matter on the walls of buildings, to imitate granite, etc.
Plashoot;n.;A hedge or fence formed of branches of trees interlaced, or plashed.
Plashy;a.;Watery; abounding with puddles; splashy.
Plashy;a.;Specked, as if plashed with color.
Plasm;n.;A mold or matrix in which anything is cast or formed to a particular shape.
Plasm;n.;Same as Plasma.
Plasma;n.;A variety of quartz, of a color between grass green and leek green, which is found associated with common chalcedony. It was much esteemed by the ancients for making engraved ornaments.
Plasma;n.;The viscous material of an animal or vegetable cell, out of which the various tissues are formed by a process of differentiation; protoplasm.
Plasma;n.;Unorganized material; elementary matter.
Plasma;n.;A mixture of starch and glycerin, used as a substitute for ointments.
Plasmatic;a.;Alt. of Plasmatical
Plasmatical;a.;Forming; shaping; molding.
Plasmatical;a.;Of or pertaining to plasma; having the character of plasma; containing, or conveying, plasma.
Plasmation;n.;The act of forming or molding.
Plasmator;n.;A former; a fashioner.
Plasmature;n.;Form; mold.
Plasmic;a.;Of, pertaining to, or connected with, plasma; plasmatic.
Plasmid;n.;A piece of DNA, usually circular, functioning as part of the genetic material of a cell, not integrated with the chromosome and replicating independently of the chromosome, but transferred, like the chromosome, to subsequent generations.  In bacteria, plasmids often carry the genes for antibiotic resistance; they are exploited in genetic engineering as the vehicles for introduction of extraneous DNA into cells, to alter the genetic makeup of the cell.  The cells thus altered may produce desirable proteins which are extracted and used; in the case of genetically altered plant cells, the altered cells may grow into complete plants with changed properties, as for example, increased resistance to disease.
Plasmin;n.;A proteid body, separated by some physiologists from blood plasma. It is probably identical with fibrinogen.
Plasmodial;a.;Of or pertaining to, or like, a plasmodium; as, the plasmodial form of a life cycle.
Plasmodia;pl. ;of Plasmodium
Plasmodium;n.;A jellylike mass of free protoplasm, without any union of amoeboid cells, and endowed with life and power of motion.
Plasmodium;n.;A naked mobile mass of protoplasm, formed by the union of several amoebalike young, and constituting one of the stages in the life cycle of Mycetozoa and other low organisms.
Plasmogen;n.;The important living portion of protoplasm, considered a chemical substance of the highest elaboration.  Germ plasm and idioplasm are forms of plasmogen.
Plasson;n.;The albuminous material composing the body of a cytode.
Plaster;n.;An external application of a consistency harder than ointment, prepared for use by spreading it on linen, leather, silk, or other material. It is adhesive at the ordinary temperature of the body, and is used, according to its composition, to produce a medicinal effect, to bind parts together, etc.; as, a porous plaster; sticking plaster.
Plaster;n.;A composition of lime, water, and sand, with or without hair as a bond, for coating walls, ceilings, and partitions of houses. See Mortar.
Plaster;n.;Calcined gypsum, or plaster of Paris, especially when ground, as used for making ornaments, figures, moldings, etc.; or calcined gypsum used as a fertilizer.
Plastered;imp. & p. p.;of Plaster
Plastering;p. pr. & vb. n.;of Plaster
Plaster;v. t.;To cover with a plaster, as a wound or sore.
Plaster;v. t.;To overlay or cover with plaster, as the ceilings and walls of a house.
Plaster;v. t.;Fig.: To smooth over; to cover or conceal the defects of; to hide, as with a covering of plaster.
Plasterer;n.;One who applies plaster or mortar.
Plasterer;n.;One who makes plaster casts.
Plastering;n.;Same as Plaster, n., 2.
Plastering;n.;The act or process of overlaying with plaster.
Plastering;n.;A covering of plaster; plasterwork.
Plasterly;a.;Resembling plaster of Paris.
Plasterwork;n.;Plastering used to finish architectural constructions, exterior or interior, especially that used for the lining of rooms. Ordinarly, mortar is used for the greater part of the work, and pure plaster of Paris for the moldings and ornaments.
Plastery;a.;Of the nature of plaster.
Plastic;a.;Having the power to give form or fashion to a mass of matter; as, the plastic hand of the Creator.
Plastic;a.;Capable of being molded, formed, or modeled, as clay or plaster; -- used also figuratively; as, the plastic mind of a child.
Plastic;a.;Pertaining or appropriate to, or characteristic of, molding or modeling; produced by, or appearing as if produced by, molding or modeling; -- said of sculpture and the kindred arts, in distinction from painting and the graphic arts.
plastic;n.;a substance composed predominantly of a synthetic organic high polymer capable of being cast or molded; many varieties of plastic are used to produce articles of commerce (after 1900). [MW10 gives origin of word as 1905]
Plastical;a.;See Plastic.
Plastically;adv.;In a plastic manner.
Plasticity;n.;The quality or state of being plastic.
Plasticity;n.;Plastic force.
Plastid;n.;Alt. of Plastide
Plastide;n.;A formative particle of albuminous matter; a monad; a cytode. See the Note under Morphon.
Plastide;n.;One of the many minute granules found in the protoplasm of vegetable cells. They are divided by their colors into three classes, chloroplastids, chromoplastids, and leucoplastids.
Plastidozoa;n. pl.;Same as Protoza.
Plastidule;n.;One of the small particles or organic molecules of protoplasm.
Plastin;n.;A substance associated with nuclein in cell nuclei, and by some considered as the fundamental substance of the nucleus.
Plastography;n.;The art of forming figures in any plastic material.
Plastography;n.;Imitation of handwriting; forgery.
Plastron;n.;A piece of leather stuffed or padded, worn by fencers to protect the breast.
Plastron;n.;An iron breastplate, worn under the hauberk.
Plastron;n.;The ventral shield or shell of tortoises and turtles. See Testudinata.
Plastron;n.;A trimming for the front of a woman's dress, made of a different material, and narrowing from the shoulders to the waist.
Platted;imp. & p. p.;of Plat
Platting;p. pr. & vb. n.;of Plat
Plat;v. t.;To form by interlaying interweaving; to braid; to plait.
Plat;n.;Work done by platting or braiding; a plait.
Plat;n.;A small piece or plot of ground laid out with some design, or for a special use; usually, a portion of flat, even ground.
Plat;v. t.;To lay out in plats or plots, as ground.
Plat;n.;Plain; flat; level.
Plat;adv.;Plainly; flatly; downright.
Plat;adv.;Flatly; smoothly; evenly.
Plat;n.;The flat or broad side of a sword.
Plat;n.;A plot; a plan; a design; a diagram; a map; a chart.
Platan;n.;The plane tree.
Platanist;n.;The soosoo.
Platanus;n.;A genus of trees; the plane tree.
Platband;n.;A border of flowers in a garden, along a wall or a parterre; hence, a border.
Platband;n.;A flat molding, or group of moldings, the width of which much exceeds its projection, as the face of an architrave.
Platband;n.;A list or fillet between the flutings of a column.
Plate;n.;A flat, or nearly flat, piece of metal, the thickness of which is small in comparison with the other dimensions; a thick sheet of metal; as, a steel plate.
Plate;n.;Metallic armor composed of broad pieces.
Plate;n.;Domestic vessels and utensils, as flagons, dishes, cups, etc., wrought in gold or silver.
Plate;n.;Metallic ware which is plated, in distinction from that which is genuine silver or gold.
Plate;n.;A small, shallow, and usually circular, vessel of metal or wood, or of earth glazed and baked, from which food is eaten at table.
Plate;n.;A piece of money, usually silver money.
Plate;n.;A piece of metal on which anything is engraved for the purpose of being printed; hence, an impression from the engraved metal; as, a book illustrated with plates; a fashion plate.
Plate;n.;A page of stereotype, electrotype, or the like, for printing from; as, publisher's plates.
Plate;n.;That part of an artificial set of teeth which fits to the mouth, and holds the teeth in place. It may be of gold, platinum, silver, rubber, celluloid, etc.
Plate;n.;A horizontal timber laid upon a wall, or upon corbels projecting from a wall, and supporting the ends of other timbers; also used specifically of the roof plate which supports the ends of the roof trusses or, in simple work, the feet of the rafters.
Plate;n.;A roundel of silver or tinctured argent.
Plate;n.;A sheet of glass, porcelain, metal, etc., with a coating that is sensitive to light.
Plate;n.;A prize giving to the winner in a contest.
Plated;imp. & p. p.;of Plate
Plating;p. pr. & vb. n.;of Plate
Plate;v. t.;To cover or overlay with gold, silver, or other metals, either by a mechanical process, as hammering, or by a chemical process, as electrotyping.
Plate;v. t.;To cover or overlay with plates of metal; to arm with metal for defense.
Plate;v. t.;To adorn with plated metal; as, a plated harness.
Plate;v. t.;To beat into thin, flat pieces, or laminae.
Plate;v. t.;To calender; as, to plate paper.
Plateaux;pl. ;of Plateau
Plateaus;pl. ;of Plateau
Plateau;n.;A flat surface; especially, a broad, level, elevated area of land; a table-land.
Plateau;n.;An ornamental dish for the table; a tray or salver.
Platefuls;pl. ;of Plateful
Plateful;n.;Enough to fill a plate; as much as a plate will hold.
Plate-gilled;a.;Having flat, or leaflike, gills, as the bivalve mollusks.
Platel;n.;A small dish.
Platen;n.;The part of a printing press which presses the paper against the type and by which the impression is made.
Platen;n.;Hence, an analogous part of a typewriter, on which the paper rests to receive an impression.
Platen;n.;The movable table of a machine tool, as a planer, on which the work is fastened, and presented to the action of the tool; -- also called table.
Plater;n.;One who plates or coats articles with gold or silver; as, a silver plater.
Plater;n.;A machine for calendering paper.
Plateresque;a.;Resembling silver plate; -- said of certain architectural ornaments.
Platetrope;n.;One of a pair of a paired organs.
Platform;n.;A plat; a plan; a sketch; a model; a pattern. Used also figuratively.
Platform;n.;A place laid out after a model.
Platform;n.;Any flat or horizontal surface; especially, one that is raised above some particular level, as a framework of timber or boards horizontally joined so as to form a roof, or a raised floor, or portion of a floor; a landing; a dais; a stage, for speakers, performers, or workmen; a standing place.
Platform;n.;A declaration of the principles upon which a person, a sect, or a party proposes to stand; a declared policy or system; as, the Saybrook platform; a political platform.
Platform;n.;A light deck, usually placed in a section of the hold or over the floor of the magazine. See Orlop.
Platform;v. t.;To place on a platform.
Platform;v. t.;To form a plan of; to model; to lay out.
Plathelminth;n.;One of the Platyelminthes.
Plathelminthes;n. pl.;Same as Platyelminthes.
Platin;n.;See Platen.
Platina;n.;Platinum.
Plating;n.;The art or process of covering anything with a plate or plates, or with metal, particularly of overlaying a base or dull metal with a thin plate of precious or bright metal, as by mechanical means or by electro-magnetic deposition.
Plating;n.;A thin coating of metal laid upon another metal.
Plating;n.;A coating or defensive armor of metal (usually steel) plates.
Platinic;a.;Of, pertaining to, or containing, platinum; -- used specifically to designate those compounds in which the element has a higher valence, as contrasted with the platinous compounds; as, platinic chloride (PtCl4).
Platinichloric;a.;Of, pertaining to, or designating, an acid consisting of platinic chloride and hydrochloric acid, and obtained as a brownish red crystalline substance, called platinichloric, or chloroplatinic, acid.
Platiniferous;a.;Yielding platinum; as, platiniferous sand.
Platiniridium;n.;A natural alloy of platinum and iridium occurring in grayish metallic rounded or cubical grains with platinum.
Platinized;imp. & p. p.;of Platinize
Platinizing;p. pr. & vb. n.;of Platinize
Platinize;v. t.;To cover or combine with platinum.
Platinochloric;a.;Pertaining to, derived from, or designating, an acid consisting of platinous chloride and hydrochloric acid, called platinochloric, / chloroplatinous, acid.
Platinochloride;n.;A double chloride of platinum and some other metal or radical; a salt of platinochloric acid.
Platinocyanic;a.;Pertaining to, derived from, or designating, an acid compound of platinous cyanide and hydrocyanic acid. It is obtained as a cinnaber-red crystalline substance.
Platinocyanide;n.;A double cyanide of platinum and some other metal or radical; a salt of platinocyanic acid.
Platinode;n.;A cathode.
Platinoid;a.;Resembling platinum.
Platinoid;n.;An alloy of German silver containing tungsten; -- used for forming electrical resistance coils and standards.
Platinotype;n.;A permanent photographic picture or print in platinum black.
Platinotype;n.;The process by which such pictures are produced.
Platinous;a.;Of, pertaining to, or containing, platinum; -- used specifically to designate those compounds in which the element has a lower valence, as contrasted with the platinic compounds; as, platinous chloride (PtCl2).
Platinum;n.;A metallic element, intermediate in value between silver and gold, occurring native or alloyed with other metals, also as the platinum arsenide (sperrylite). It is heavy tin-white metal which is ductile and malleable, but very infusible, and characterized by its resistance to strong chemical reagents. It is used for crucibles, for stills for sulphuric acid, rarely for coin, and in the form of foil and wire for many purposes. Specific gravity 21.5. Atomic weight 194.3. Symbol Pt. Formerly called platina.
Platitude;n.;The quality or state of being flat, thin, or insipid; flat commonness; triteness; staleness of ideas of language.
Platitude;n.;A thought or remark which is flat, dull, trite, or weak; a truism; a commonplace.
Platitudinarian;n.;One addicted to uttering platitudes, or stale and insipid truisms.
Platitudinize;v. i.;To utter platitudes or truisms.
Platitudinous;a.;Abounding in platitudes; of the nature of platitudes; uttering platitudes.
Platly;a.;Flatly. See Plat, a.
Platness;n.;Flatness.
Platometer;n.;See Planimeter.
Platonic;a.;Alt. of Platonical
Platonical;a.;Of or pertaining to Plato, or his philosophy, school, or opinions.
Platonical;a.;Pure, passionless; nonsexual; philosophical.
Platonic;n.;A follower of Plato; a Platonist.
Platonically;adv.;In a Platonic manner.
Platonism;n.;The doctrines or philosophy by Plato or of his followers.
Platonism;n.;An elevated rational and ethical conception of the laws and forces of the universe; sometimes, imaginative or fantastic philosophical notions.
Platonist;n.;One who adheres to the philosophy of Plato; a follower of Plato.
Platonized;imp. & p. p.;of Platonize
Platonizing;p. pr. & vb. n.;of Platonize
Platonize;v. i.;To adopt the opinion of Plato or his followers.
Platonize;v. t.;To explain by, or accomodate to, the Platonic philosophy.
Platonizer;n.;One who Platonizes.
Platoon;n.;Formerly, a body of men who fired together; also, a small square body of soldiers to strengthen the angles of a hollow square.
Platoon;n.;Now, in the United States service, half of a company.
Platt;n.;See Lodge, n.
Plattdeutsch;n.;The modern dialects spoken in the north of Germany, taken collectively; modern Low German. See Low German, under German.
Platten;a.;To flatten and make into sheets or plates; as, to platten cylinder glass.
